chapter	title	body_words	max_p_words	dashes_per_1000	open_quotes	close_quotes	date_stamps
ch064	Weak Stomach — Doctor’s Orders: Soft Rice Only	1090	72	29.36	32	32	
ch065	Lies Don’t Wound — Truth Is the Blade	1189	78	33.64	26	26	
ch066	Strawberry Gummies	998	50	40.08	32	32	
ch067	What “With Your Own Lips” Means	1138	73	37.79	25	25	
ch068	Taeyeon’s Traits	1088	72	35.85	4	4	
ch069	Good Songs Are Fought Over	981	101	31.6	34	34	The Next Day
ch070	The Prodigy Writer	1067	75	27.18	33	33	
ch071	I Want to Go Solo	1086	73	30.39	42	42	
ch072	The Negotiation	933	95	30.01	20	20	
ch073	The Rooftop Warning	1012	73	22.73	34	34	
ch074	Sulli’s Call	909	49	36.3	39	39	Sunday · June 3, 2012
ch075	Busan	1137	49	42.22	42	42	Early Afternoon
ch076	The Rebuke	1221	76	34.4	32	32	
ch077	Sulli’s Memories	1163	78	27.52	16	16	Late Afternoon
ch078	The Insecurity of Youth	1138	79	30.76	11	11	
ch079	Hara	992	71	40.32	58	58	
ch080	First Meeting: Jiyeon	1144	80	44.58	47	47	Night
ch081	Scatterbrained Jiyeon	953	63	40.92	43	43	
ch082	Loving Someone, or Loving Yourself	1112	75	30.58	19	19	
ch083	The Missing Memory	1270	75	29.13	53	53	
ch084	The Debut Project	1000	97	29.0	19	19	The Day of the Busan Trip
ch085	Promotion to the Pre-Debut Team	1154	92	29.46	22	22	The Morning After the Somaek Night
ch086	Fault Lines	1239	56	21.79	18	18	
ch087	Main Quest — “Official Debut”	1312	82	21.34	29	29	
ch088	A Sense of Crisis	1200	53	28.33	25	25	June 8, 2012 · 10:17 PM
ch089	Tension, and Thrill	1260	47	26.19	34	34	
ch090	The Ninety-Degree Bow	1264	54	21.36	46	46	
ch091	Scandal	2261	70	25.65	44	44	June 9, 2012 · Cloudy, Turning Overcast
ch092	The Whole Internet, On Fire	2082	67	28.34	27	27	The Same Afternoon
ch093	The Wager	3066	94	33.27	64	64	
ch094	Heavenly Voice	2521	82	28.56	49	49	The Same Evening
ch095	The Stranger at Door 801	1337	52	43.38	14	14	7:00 PM
ch096	Racing Hearts	3059	113	25.83	71	71	
ch097	The Audition He Gave Himself	2437	78	29.95	49	49	June 20, 2012
ch098	The Promise	1805	65	22.71	85	85	
ch099	The Road to Jeonju	1592	87	22.61	69	69	June 24, 2012 · Cloudy
ch100	My Taeyeon	3414	75	20.8	125	125	
ch101	The Partner Development System	2119	86	31.62	36	36	
ch102	The Debut Plan · Into the Booth	1866	65	30.55	67	67	
ch103	Seven Days to Ignition	1970	56	27.92	53	53	July 12, 2012 · 9:00 AM · D-7
ch104	All-Kill	1111	69	34.2	17	17	July 19, 2012 · 00:00 KST
ch105	Ripples	1087	84	23.92	34	34	July 19, 2012 | The Same Day
ch106	The Debut Stage	3344	62	31.4	91	91	Friday Morning | 08:00–12:00 · Pre-Recording | 17:00–18:30 KST · LIVE | The Same Evening
ch107	The Fan Club	1232	50	46.27	26	26	
ch108	A Phenomenon	930	88	32.26	12	12	Saturday · 7:30 PM
ch109	First Variety	1481	104	25.66	51	51	KBS2 Studio
ch110	The Storm Breaks Over T-ara	1257	137	37.39	14	14	July 27, 2012 · Evening
ch111	Taeyeon Goes House-Hunting	1541	78	31.15	38	38	
ch112	Height-Reforging Milk	876	74	38.81	8	8	
ch113	Planting the Flag	2813	72	29.15	102	102	August 11, 2012
ch114	Hunter and Prey	2385	123	25.16	54	54	9:00 PM
ch115	The Taste of Fire	1701	74	26.46	55	55	Past Midnight
ch116	Absence, and What It Does to the Heart	1914	71	22.47	34	34	Saturday · 7:00 AM
ch117	Yeobo	2559	102	23.06	65	65	
ch118	Running Man — The X-Man Special (I)	1384	68	30.35	57	57	August 13, 2012
ch119	Running Man — The X-Man Special (II)	1377	64	37.04	62	62	
ch120	Running Man — The X-Man Special (Finale)	1961	84	30.09	60	60	
ch121	The Memory That Came Back	1839	74	33.71	43	43	That Evening
ch122	Morning Glories, Love, and Autumn	2592	106	31.25	51	51	Next Morning
ch123	“Strawberry Gummies”	1530	117	28.76	28	28	8:00 PM
ch124	Taeyeon, 160 Centimeters	1976	70	30.36	46	46	Early Next Morning
ch125	One Album to Hold Twenty Years of Ballads	993	90	31.22	13	13	
ch126	Even a CM Song Can All-Kill	1381	90	31.86	12	12	
ch127	The Alps, with Yoon-a	1869	128	29.43	47	47	Departure Day
ch128	However You Tell It, Yoon-a, You Seduced Me	2043	71	31.82	58	58	
ch129	Visiting Sulli’s Set	1893	68	29.05	48	48	
ch130	Taeyeon’s Solo Dance	1188	70	34.51	30	30	8:00 PM
ch131	Taeyeon’s Advice	1271	82	34.62	30	30	That Morning
ch132	Thoughts on the MVs	1775	78	27.04	72	72	Two Days Later
ch133	As Long as the Face Holds, the Kingdom Holds	1703	87	29.36	58	58	That Evening
ch134	IU: I Won Again	1780	94	37.64	62	62	Shooting Days
ch135	As It Flows	1499	95	34.02	34	34	
ch136	The Boyfriend Halo	1582	119	34.77	16	16	
ch137	Across the Water	1964	79	33.6	62	62	Shoot Day | Arrival
ch138	Happy Camp	1859	120	27.43	72	72	Taping Day
ch139	“Next Time Take Me Too — I Want the Milk”	1528	89	31.41	49	49	The Same Hour · The Peninsula
ch140	“I’m Still Waiting for Your Answer”	1266	62	29.23	24	24	4:00 PM
ch141	The First Sign	3643	77	20.86	94	94	November 2012 · Night
ch142	Detective Sunny	1856	67	27.48	47	47	The next morning
ch143	Full-Album All-Kill	3157	90	25.66	77	77	Early November 2012
ch144	One Album, and the Throne of a Top Soloist	3987	92	21.82	135	135	Release week · November 2012 | 1:00 a.m. · Seoul
ch145	First Place	1755	94	37.04	24	24	Mid-November 2012
ch146	What the Ace Endorser Brings Home	2238	91	20.55	61	61	Late November 2012 · 4:00 a.m. | November 30, 2012 · 6:00 a.m. | 2:00 p.m. · Hong Kong
ch147	Red-Carpet Highlight	1266	83	18.17	15	15	November 30, 2012 · 4:00 p.m.
ch148	Best New Male Artist	2307	94	23.41	81	81	The same evening
ch149	Good Little Sister Sulli	3573	124	29.39	82	82	The same night · after the final award
ch150	Heart to Heart	1387	111	28.84	35	35	The same night · later
ch151	You’re Not a Hallucination — You’re Really Ji-ho?	2529	95	30.05	80	80	The same night · Hong Kong
ch152	Ji-eun	3125	89	28.8	93	93	Deep night · Hong Kong
ch153	The Victory Banquet	2012	106	32.31	64	64	December 2012 | December 25 · Christmas night
ch154	The Film Project	1821	129	30.75	52	52	Late December 2012 → January 2013 | January 2013
ch155	A Female Lead Named Sulli	1107	80	18.07	44	44	January 2013
ch156	Craving Joo-hyun’s Samgyetang	1953	48	21.51	96	96	January 2013
ch157	The Rescue Siblings	1656	85	21.74	58	58	January 2013
ch158	Interviewing the Manager	808	67	24.75	18	18	January 2013
ch159	Ji-ho, Just Bully Me Then	1725	80	22.61	34	34	Sunday, January 13, 2013
ch160	Peach Blossoms in Bloom	1216	65	27.14	35	35	The same evening · snowfall
ch161	The Film’s Theme Songs	1323	113	27.21	23	23	January 14, 2013 · Morning
ch162	Asia’s Number One Group	908	87	38.55	25	25	Mid-January 2013
ch163	Apink — “NoNoNo”	1593	87	27.62	47	47	January 15, 2013 · Afternoon | Three days later
ch164	Casting Confirmed	2299	127	33.93	93	93	Late January 2013 | January 25 · Morning | Days later
ch165	Detective Im, the Little Deer	1399	95	20.73	37	37	Late January 2013 · Night
ch166	The Secret of the Milk	1061	106	32.99	43	43	Late January 2013 · Night
ch167	The Argument	2618	182	23.68	66	66	The same night
ch168	With Sulli It’s a Peck, Not a Kiss Scene	3339	106	26.06	74	74	The same night · later
ch169	Cameras Roll — A Cameo from Son Ye-jin	2228	133	30.97	55	55	February → March 1, 2013 | March 1, 2013 · Morning
ch170	Coaching Sulli	2282	104	35.5	54	54	March 1, 2013 · Shooting day one
ch171	A Class for Best Friends	3693	123	26.27	89	89	March 2013 · night, after wrap
ch172	The Kiss Scene	2861	74	25.17	53	53	March 2013 · mid-shoot
ch173	Kissed Ten Times	1526	75	30.8	31	31	April 2013
ch174	Sulli-yah, I Have a Girlfriend	3054	108	24.23	63	63	May 2013 · the final day of shooting
ch175	Into the Sea	4338	200	36.19	74	74	The same night
ch176	Sulli’s Ambition	2671	100	24.71	30	30	The morning after
ch177	Boyfriend Halo (LV3)	2634	84	29.99	54	54	May 2013
ch178	Field Test	3510	82	19.09	69	69	The same afternoon → evening
ch179	Recording-Booth Benefits	2319	145	32.77	72	72	The next day
ch180	Girls’ Night — Ji-ho in Peril!	2140	98	27.57	46	46	That evening
ch181	“I Envy You, Sulli”	1148	90	26.13	52	52	The same night, continued
ch182	Cried Angry	2200	179	37.73	58	58	Minutes later
ch183	A Love Proven in Deep Water	1929	71	26.44	60	60	Late night
ch184	Sister-in-Law Taeyeon	2414	61	23.61	105	105	May 18, 2013
ch185	The Meeting That Never Happens	2088	79	24.43	71	71	May 2013 · evening
ch186	Hello, Sister-in-Law	1787	70	26.3	68	68	May 18, 2013
ch187	Short on Feelings, Never on Gifts	2260	87	26.55	56	56	The same evening
ch188	Jessica’s Sleeping Habit	2003	104	27.96	52	52	Sunday, May 19, 2013 · morning
ch189	What Jessica Found	3109	96	33.13	96	96	May 19, 2013
ch190	The Cat’s Burning Curiosity	2122	69	33.93	57	57	May 19, 2013 · afternoon → night
ch191	Ordinary Days with Taeyeon	1669	62	25.76	56	56	May 19–20, 2013
ch192	A Rose in Full Riot	2111	124	32.69	109	109	May 21, 2013
ch193	Even If It Damns Us	1571	52	31.19	50	50	May 21, 2013 · afternoon → night
ch194	Face at Full Value	2299	105	33.06	52	52	The same night → the days after
ch195	Naïve, or Just Foolish	2995	106	36.06	84	84	Late May 2013 · evening
ch196	The First Wish	3397	199	23.26	71	71	Late May 2013
ch197	Joo-hyun’s Tenderness	3406	97	31.42	110	110	May 30, 2013
ch198	The Negotiation	2286	59	31.93	124	124	June 2, 2013
ch199	How Shall I Punish You, Ji-eun	3406	200	32.0	117	117	June 2, 2013 · evening → night
ch200	Six of Girls’ Generation at His Door	2856	71	35.01	75	75	June 4, 2013 · 23–24°C, scattered rain
ch201	Single Yoon-a Takes Critical Damage	1996	75	25.55	71	71	June 4, 2013 · late afternoon
ch202	The Taste of Taeyeon’s Lip Balm	1279	64	33.62	26	26	June 4, 2013 · early evening
ch203	The Fight	2976	126	32.59	118	118	June 4, 2013 · night
ch204	For Now	2939	118	41.51	74	74	June 4–5, 2013 · deep night
ch205	Sunny, You Could Grow Five Centimeters	2785	257	30.88	75	75	June 5, 2013 · the smallest hours
ch206	Sulli — Forever Free, Forever Burning, Forever Bright as the Morning Sun	1862	69	21.48	37	37	June 5, 2013 · dawn to morning
ch207	The Promotion Machine	2167	104	26.3	35	35	June 5, 2013
ch208	Cuddles Only	1694	75	25.97	38	38	The same night
ch209	Opening Day	2710	74	31.0	93	93	June 6 – July 2, 2013
ch210	All Eyes on Him	2464	116	23.54	53	53	July 2–3, 2013
ch211	Sulli’s Wishes	1989	123	30.17	75	75	July 4, 2013
ch212	Onto the Billboard!	1612	125	29.78	35	35	July 4–mid-July 2013
ch213	Rewriting Fate	2558	203	32.84	52	52	July 2013
ch214	If You’re Going to Be Bad, Be Bad All the Way	3719	131	22.59	86	86	Late July 2013
ch215	Fortune’s Favor	2652	90	27.53	39	39	Deep night → dawn
ch216	Eonni… I Think I Just Saw Fany Eonni	2872	84	25.42	73	73	Morning, late July 2013
ch217	Cry, Fight, and Threaten the Rafters	2500	98	30.0	45	45	The same morning
ch218	Palace Intrigue	1829	118	26.79	31	31	Dusk, the same day
ch219	When Life Goes Your Way, Drink Deep	1740	122	18.97	29	29	Evening → deep night
ch220	A Rooster for the Monkeys	2364	99	25.38	68	68	July 29, 2013
ch221	Beautiful, Brilliant Women Are a Man’s Oldest Fuel	2160	101	31.48	56	56	Late July 2013
ch222	Is That All You’ve Got?	3018	101	28.5	137	137	July 31, 2013
ch223	Born Aristocrat	1781	84	19.65	69	69	July 31 → August 1, 2013
ch224	Signed and Taken	2918	160	23.65	95	95	August 1, 2013 · 10:00 AM
ch225	Stand Back — Watch How It’s Done	3237	172	29.35	61	61	August 1, 2013 · before noon
ch226	Prove Your Surrender	2911	108	21.3	68	68	August 1, 2013 · afternoon → night
ch227	Shining Alone	1623	101	29.57	15	15	August 2, 2013 · morning
ch228	The Tangled Knot of T-ara	2477	162	28.26	72	72	August 2, 2013
ch229	Not Unwilling	2538	167	30.34	81	81	August 2, 2013 · night
ch230	The Diligent Student, IU	2552	137	27.82	57	57	August 2–3, 2013
ch231	A Man’s Standing Is a Woman’s Glory	1991	152	22.1	44	44	August 3, 2013 · morning
ch232	Red Velvet	2308	109	28.6	101	101	August 3, 2013 · evening
ch233	Ji-eun and the Lyrics That Could Not Be Cleared	1384	130	26.73	42	42	August 4, 2013 · overcast
ch234	Taeyeon and Tiffany, First Crossing of Blades	2213	88	28.02	68	68	August 5, 2013
ch235	The Birthday Present	2340	108	33.33	87	87	August 5, 2013 · night
ch236	Laying Out the Future, Again	1826	129	29.03	37	37	August 5, 2013 · night
ch237	The Frightening Yoon-a	2001	176	26.99	60	60	August 5–6, 2013 · deep night
ch238	Blue Dragon Best Actress Yoon-a — Could I Even Refuse?	2057	169	29.17	49	49	August 6, 2013 · the small hours
ch239	A Home with Peaches	4431	162	29.34	114	114	August 6–7, 2013
ch240	First Wisdom Tooth	2065	152	28.57	37	37	August 8–9, 2013
ch241	Red Velvet, Secured	3535	184	25.18	56	56	August 9, 2013
ch242	Why Emperors Favor the Cunning Minister?	1466	116	26.6	38	38	August 9, 2013 · afternoon
ch243	The Opening to Acquire CCM	3001	60	4.67	97	97	
ch244	Ji-eun’s Bid for His Attention	4518	127	2.66	139	139	
ch245	Net Worth Soars	1985	73	7.05	63	63	August 14, 2013
ch246	The Second Wish	2560	60	5.86	67	67	
ch247	The Gentleman Scoundrel	2049	63	3.9	46	46	
ch248	The Canary and the Businesswoman	2198	51	7.73	90	90	1:00 a.m.
ch249	Bae-chu	1960	50	8.16	46	46	After 1:00 a.m. | 6:00 a.m.
ch250	Choosing the Business Path	2370	61	7.17	62	62	Late morning
ch251	The Sixth Lover	1663	51	6.61	68	68	
ch252	Kim Taeyeon: I’m Not Afraid of Lee Ji-eun—I’m Afraid of Losing You	4119	87	8.25	144	144	The following morning
ch253	Grammys, Here I Come	1992	77	5.52	56	56	
ch254	I Said I Love You, Song Ji-ho	1691	42	3.55	88	88	
ch255	The Seventh Lover: Park Jiyeon	1289	49	6.21	34	34	Morning
ch256	The Music Video Lead	2537	56	5.12	96	96	Morning
ch257	It Came to Blows	1881	38	4.25	81	81	
ch258	The Tangled Little Lamb	1742	34	4.59	45	45	
ch259	Old Tricks Are Fine If They Work	2128	44	6.11	105	105	August 20, 2013 · morning | 11:00 a.m. | The following morning
ch260	The Family Fund	1946	38	2.06	80	80	
ch261	Reunion with T-ara	2476	47	4.04	137	137	
ch262	Starship Entertainment: Future Stars, Activate	2272	52	3.96	94	94	
ch263	The Young Secretary	2000	37	1.5	91	91	
ch264	Kill Them	2205	45	19.95	94	94	Late That Night | Small Hours | Morning
ch265	The Bad Apple Effect	2980	96	22.15	89	89	Continuing | Later That Morning | Mid-Morning | That Morning
ch266	Sulli, I Think I Understand You Now	2205	67	22.22	96	96	Night
ch267	Eonni, Your Man Is Making His Move on Me	1427	43	2.1	43	43	Morning
ch268	Even a Little Tangerine Is Cute	1472	42	2.72	61	61	
ch269	LOEN and JYP: A Love-Hate History	2504	53	3.59	85	85	September 2013 | 2:00 p.m.
ch270	SaTzu	1764	42	6.24	96	96	
ch271	Witness Krystal	2507	64	4.39	93	93	
ch272	The New Secretary Takes Office	4837	63	11.99	100	100	September 2013 · dawn | Later the same night | Two days later · 09:40
ch273	Which of Us Is Greedier	5086	75	11.99	103	103	17:30
ch274	You Never Know What Best Friends Talk About	5568	76	8.98	152	152	Day one · 05:00 | 15:20 | 17:00 | September 6 · evening
ch275	Jiyeon’s Development Quest	6285	99	5.73	119	119	Saturday · 07:20 | 09:10 | Korea · Saturday 14:00 | That night · 02:40
ch276	The Girl Who Kept the Messages	7883	123	6.72	187	187	Sunday · 10:42 | Sunday · 12:15 | Sunday · 16:00 | Sunday · 20:00 → Monday · 00:07
ch277	Ms. Jiyeon’s Private Lesson	7111	135	11.81	181	181	Sunday · 17:20 | Sunday · 18:40 | Sunday · 22:05
ch278	The Three Minutes at Incheon	5939	173	8.76	85	85	Tuesday · 14:41 | Wednesday · 10:00 | Tuesday · 15:55 → 23:40
ch279	Bae Joo-hyun, 161 Centimeters	8758	165	8.91	154	154	Wednesday · 09:12 | Wednesday · 10:40 | Wednesday · 14:05 | Wednesday · 23:40
ch280	The Cabbage Misunderstanding	9487	144	4.43	180	180	Thursday · 20:40 | Thursday · 20:55
ch281	Lee Soo-man Has Had Enough	8328	201	2.28	110	110	Friday · 06:20 | Friday · 21:04 | Saturday · 11:40 | Sunday · 15:20
ch282	TaeTi Has Made Enormous Progress	19634	207	4.84	216	216	Sunday · 16:04 | Sunday · 19:44 | Monday · 04:52 | Monday · 07:41 | Monday · 08:52
ch283	Not More than Taeyeon, and Not Less	5375	131	2.23	79	79	Monday · 08:51
ch284	The Hateful Moon Hangs High	5563	135	1.44	75	75	Monday · 09:58 → Tuesday · 18:40
ch285	Regret, and a Great Deal of It	5676	81	4.05	86	86	Tuesday · 19:12 → Wednesday · 07:40
ch286	It’s Late Enough to Stay the Night	11011	140	3.54	63	63	Wednesday · 08:12 → Thursday · 03:20
ch287	A Job That Lays Out Every Condition for Love	7019	91	4.7	74	74	Thursday · 07:11 → 00:41
ch288	A Tug of War	6089	97	4.76	118	118	Friday · 18:47 → 23:58
ch289	Curiosity Killed the Deer	5645	93	3.72	118	118	Saturday · 00:06 → 01:58
ch290	You Come, I Go	5580	98	3.58	140	140	Saturday · 09:40 → 22:12
ch291	For the Record, I Closed My Eyes	6433	96	3.73	130	130	Sunday · 20:31 → 00:19
ch292	The Same Pillow	4987	67	4.01	84	84	Monday · 00:41 → 08:12
ch293	A Walking Pictorial	4365	81	4.12	76	76	Monday → Thursday · 08:20 → wrap
ch294	Yoon-a, Confess to Me	3994	98	4.76	89	89	Thursday · 20:04 → 23:10
ch295	Song Ji-ho Is Indeed a Bastard	4265	97	1.88	86	86	Thursday 23:11 → Friday 00:53
ch296	Eonni, I’ll Love You Tomorrow	3949	86	3.29	104	104	Friday · 00:54 → 19:12
ch297	Upheaval	3683	94	3.8	82	82	Friday · 17:52 → 22:41
ch298	The Breakup	4249	94	4.0	83	83	Friday 22:05 → Saturday 09:47
ch299	Today’s Dog Food Ration: Exceeded	4682	86	4.7	81	81	Saturday · 07:26 → 12:41 · September 28, 2013
ch300	Backup Dancers	6409	95	3.9	198	198	Monday 09:00 → Tuesday 21:20 · September 30 – October 1, 2013
ch301	A Fawn at the Window	6053	96	4.13	56	56	Wednesday 18:10 → Thursday 13:00 · October 2–3, 2013 | Thursday · 10:02 → 10:19 | Thursday · 10:31 | Thursday · 10:26 → afternoon · the third of October, 2013
ch302	The Collapse	6235	86	4.49	112	112	Thursday 17:45 → Friday 13:10 · October 3–4, 2013 | Thursday · 18:20 → evening | Thursday · 20:30 → 21:00 | Friday, small hours → 13:10 · October 4, 2013 · Singapore
ch303	Can You Bear My Love?	5582	59	0.54	125	125	Friday · October 4, 2013 · Seoul, 10:30 → 14:40 | Earlier that afternoon · 14:10 Singapore time | Friday · 22:05 arrival → 22:45 at the hospital | Friday · 22:47 → 22:55
